cod_barras,descricao, novo Codigo interno
1801219,CABO PP 500V 2X1,5MM,undefined
1801220,CURVA F GALV FOGO 03,undefined
1801221,CURVA F GALV FOGO 05,undefined
1801222,LUVA F GALV FOGO 03,undefined
1801223,LUVA PVC C/R 03,undefined
1801224,ARAME GALV 18,undefined
1801225,CURVA F GALV FOGO 08,undefined
1801226,LUVA F GALV FOGO 08,undefined
1801227,CB COBRE NU 035,00 MM,undefined
1801228,ELETROD PVC C/R 03,undefined
1801229,ELETROD PVC C/R 05,undefined
1801230,ELETROD PVC C/R 08,undefined
1801231,CURVA PVC LONGA C/R 03,undefined
1801232,CURVA PVC LONGA C/R 05,undefined
1801233,CURVA PVC LONGA C/R 08,undefined
1801234,LUVA PVC C/R 05,undefined
1801235,LUVA PVC C/R 08,undefined
1801236,CONEC SPLIT BOLT PF 035,undefined
1801237,HASTE ATERR BX CAM 3/4,undefined
1801450,COTOVELO 90 FG 2 1/2,undefined
1801238,GRAMPO P/HASTE TERRA 3/4,undefined
1801239,ELETROD F GALV FOGO 05,undefined
1801240,ELETROD F GALV FOGO 03,undefined
1801241,ELETROD F GALV FOGO 08,undefined
1801242,DISCO CORTE 7 X 1/16 X 7/8 INOX DIS,undefined
1801243,DISCO CORTE 4 1/2 X 1/8 X 7/8 METAL,undefined
1801244,ESQ RADIER 8 X 3/8 X 0,80 X 0,80 X,undefined
1801245,COLHER DE PEDREIRO N. 10,undefined
1801246,MARRETA 2KG C/ CABO MOMFORT,undefined
1801247,VIGA 1 MT,undefined
1801248,VIGA 2 MT,undefined
2002012,PROMO COCA COLA 2L 3UN,undefined
2002013,PROMO COCA COLA ZERO 2L 3UN,undefined
2002014,PROMO FANTA LARANJA 2L 3UN,undefined
2002015,PROMO FANTA UVA 2L 3UN,undefined
2002016,PROMO GUARANA KUAT 2L 3UN,undefined
2002017,PROMO SPRITE 2L 3UN,undefined
2002018,PROMO TIC TAC CEREJA/MARACUJA 2UN,undefined
2002019,PROMO TIC TAC FRUTAS 2UN,undefined
2002020,PROMO TIC TAC HORTELA MIX 2UN,undefined
2002021,PROMO TIC TAC LARANJA 2UN,undefined
2002022,PROMO TIC TAC MENTA 2UN,undefined
2002023,PROMO TIC TAC MORANGO 2UN,undefined
2002024,PROMO TIC TAC TORMENTA 2UN,undefined
2002025,PROMO TNT ENERGY DRINK 269ML 2UN,undefined
2002026,PROMO TNT MAÇA VERDE 269ML 2UN,undefined
1801249,ARGAMASSA AC2 CINZA 15KG SC,undefined
2002027,PROMO TNT E.DRINK ZERO 269ML 2UN,undefined
1801250,PISO 38 X 38 A CRISTAL PEI4 CX220,undefined
1801251,REJUNTE FLEXIVEL CINZA PLATINA 5KG,undefined
1801252,FIO PARALELO POLARIZADO 2X,undefined
1801253,ELET. GARGANTA,undefined
1801254,FITA ISOLANTE IMPERIAL,undefined
1801255,TERMINAL ACOPL. ISOL. FEMEA,undefined
1801256,PESCA P/FIO 10 MTS,undefined
1801257,PESCA P/FIO 15 MTS,undefined
1801258,CANALETA PERLEX 2MTS,undefined
1801259,TRELICA GERDAU 8L,undefined
1801260,TELA PAINEL Q61 GERDAU,undefined
1801261,VERGALHAO 3/8 GERDAU,undefined
1801262,VERGALHAO 5/16 GERDAU,undefined
1801263,TELA PAINEL POP LEVE,undefined
1801264,TRELICA PESADO 01 MT,undefined
1801265,TIJOLO H-8 P/ VALTERRANA UNIDADE,undefined
1801266,TELA P/ LAJE POP 15 X 15 M (3 X 2),undefined
1801267,TRILHO VALTERRANA METRO LINEAR,undefined
1801268,LUVA F GALV FOGO 05,undefined
1801269,LAMINA SERRA RS1218,undefined
1801270,TARRACHA 1P/TUBO PVC,undefined
1801271,COLA DO ARTESÃO 6009 60 ML,undefined
1801272,PAPAIL NOEL INFLÁVEL 180C,undefined
1801273,PISCA CASCATA 200LAMP,undefined
1801274,LAÇO 30CM,undefined
1801275,GORO FELTRO,undefined
1801276,FITA ARAMADA 4X3,undefined
1801277,LONA PTA MINEIRONA 6X100X200,undefined
1801278,ALCOOL GEL CHC 5 LTS,undefined
1801279,DISPENSER ASPRO 2VIAS,undefined
1801280,UNIDADE COMPRESSAO GN GALILEO,undefined
1801281,FEIJAO CORDA,undefined
1801282,MAC ESPAGUETE SOFIA 500GR,undefined
1801283,FLOCOS DE MILHO PRECOZIDO,undefined
1801284,LEITE PO INTEGRAL ELEGE 200G,undefined
